SOURCES,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NATURAL GAS,0,0,0,0,122,128,128,122,121,117,113,108,90,106,100,197,283,361,326,357,333,361,387,383,444,600,740,707,604,643,779,781,900,911,936,"1,113","1,105","1,214","1,158",695,897,"1,129","1,219","1,284","1,036","1,223","1,012","1,161","1,171","1,203"
STEAM COAL,1,2,9,6,13,18,22,17,19,24,28,24,20,18,30,31,33,49,27,69,20,14,5,141,211,215,387,652,889,"1,160","1,272","1,223","1,467","1,681","1,892","1,829","1,813","1,939","2,052","1,578","1,772","1,924","1,854","1,808","2,053","2,124","1,935","2,289","2,420","2,203"
DIESEL OIL,11,11,12,12,13,18,24,24,28,33,40,51,39,31,30,31,36,40,39,42,42,41,36,37,40,18,12,33,28,27,30,22,35,36,40,44,40,14,14,14,15,33,36,35,33,27,23,25,24,24
BIODIESEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3
FUEL OIL,700,749,795,857,885,905,964,"1,096","1,083","1,189","1,027",677,586,519,540,483,456,386,480,422,384,381,430,466,472,391,386,320,232,146,110,103,105,117,79,82,107,145,142,114,168,29,29,40,35,2,2,3,0,2
LIQUEFIED PETROLEUM GAS,4,4,5,12,14,18,21,30,31,34,38,34,42,26,32,27,28,36,29,26,23,22,20,22,30,33,59,70,88,99,113,105,81,82,56,100,85,88,97,90,71,26,20,19,26,25,59,43,33,24
NAPHTHA,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEROSENE,0,0,0,0,0,7,11,16,20,27,20,25,27,19,16,13,11,11,12,13,11,12,7,7,10,10,8,6,4,5,5,2,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GAS COKE,164,174,189,212,204,253,315,396,415,481,502,426,481,561,713,780,815,"1,051","1,134","1,101",890,926,897,935,993,"1,047","1,037","1,035",998,871,932,891,879,972,"1,037","1,016",980,"1,039","1,065","1,011","1,250","1,288","1,237","1,200","1,200","1,148","1,114","1,202","1,240","1,131"
GASWORKS GAS ,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,4,3,3,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL COKE,"1,173","1,156","1,248","1,264","1,288","1,578","1,844","2,440","2,635","3,018","3,142","2,631","2,830","3,350","4,407","4,901","4,903","5,511","6,199","6,038","4,936","5,947","6,023","6,275","6,459","6,605","6,582","6,572","6,401","5,701","6,413","6,221","6,585","6,470","6,574","6,067","5,763","6,320","6,289","4,969","7,153","7,750","7,495","7,309","7,237","7,441","6,728","7,340","7,455","6,809"
ELECTRICITY,172,272,295,283,380,419,507,562,610,708,767,734,746,800,972,"1,062","1,140","1,162","1,233","1,286","1,098","1,110","1,153","1,241","1,287","1,234","1,227","1,231","1,207","1,230","1,265","1,200","1,289","1,382","1,452","1,397","1,452","1,579","1,602","1,281","1,613","1,714","1,696","1,691","1,671","1,609","1,484","1,628","1,653","1,523"
CHARCOAL,"1,041","1,208","1,439","1,520","1,998","2,476","2,123","2,119","2,126","2,620","2,955","2,575","2,517","2,824","3,714","3,820","4,329","4,246","4,561","5,327","4,365","3,681","3,431","3,761","3,882","3,563","3,091","3,236","2,968","3,389","3,660","3,439","3,563","4,057","4,902","4,804","4,636","4,775","4,679","2,724","3,372","3,492","3,338","3,021","2,962","2,988","2,490","2,622","2,773","2,900"
TAR/OTHER PETROLEUM SECUNDARIES,18,17,19,19,18,22,26,68,32,55,58,55,40,50,56,57,64,138,197,191,115,150,207,215,197,185,64,169,222,292,328,415,393,492,413,462,464,551,528,531,134,145,139,129,133,135,119,131,132,120
TOTAL,"3,284","3,594","4,012","4,184","4,937","5,844","5,986","6,893","7,121","8,308","8,694","7,341","7,421","8,308","10,615","11,405","12,100","12,996","14,243","14,875","12,225","12,643","12,595","13,482","14,027","13,900","13,593","14,032","13,641","13,565","14,906","14,403","15,299","16,201","17,382","16,914","16,446","17,664","17,627","13,008","16,445","17,533","17,065","16,538","16,387","16,724","14,969","16,447","16,905","15,942"
