Rota,Etapa,Combustivel,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
R1,Sinterizacao,Gas natural,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
R1,Sinterizacao,Carvao metalurgico,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.449
R1,Sinterizacao,Lenha,,,,,,,,,,,,,,,
R1,Sinterizacao,Produtos da cana,,,,,,,,,,,,,,,
R1,Sinterizacao,Outras fontes primarias,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
R1,Sinterizacao,Oleo diesel,,,,,,,,,,,,,,,
R1,Sinterizacao,Oleo combustivel,,,,,,,,,,,,,,,
R1,Sinterizacao,Gasolina,,,,,,,,,,,,,,,
R1,Sinterizacao,GLP,,,,,,,,,,,,,,,
R1,Sinterizacao,Querosene,,,,,,,,,,,,,,,
R1,Sinterizacao,Gases cidade,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
R1,Sinterizacao,Coque de carvao mineral,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226
R1,Sinterizacao,Eletricidade,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552
R1,Sinterizacao,Carvao vegetal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
R1,Sinterizacao,Alcool etilico,2.693,2.693,2.693,2.693,2.693,2.693,2.693,2.693,2.693,2.693,2.693,2.693,2.693,2.693,2.693
R1,Sinterizacao,Outras fontes secundarias,,,,,,,,,,,,,,,
R1,Sinterizacao,Alcatrao,,,,,,,,,,,,,,,
R1,Alto-forno,Gas natural,1.652,1.652,1.652,1.652,1.652,1.652,1.652,1.652,1.652,1.652,1.652,1.652,1.652,1.652,1.652
R1,Alto-forno,Carvao metalurgico,,,,,,,,,,,,,,,
R1,Alto-forno,Lenha,,,,,,,,,,,,,,,
