﻿Combustivel,BRL/ktep,BRL/TJ,Fonte
Petroleo,1462689,49281.74231,BEN 
Oleo diesel,2332547,116602.548,BEN 
Oleo combustivel,1339603,71813.02636,BEN 
Gasolina,2505195,162512.2255,BEN 
Alcool,4372549,190036.824,BEN 
GLP,1253971,138557.511,BEN 
Gas natural,515773,70816,BEN 
Carvao vapor,524702,23675.06659,BEN 
Eletricidade,1790698,190277,CNI/Firjan
Querosene,2813869,94806.46053,BEN 
Carvao vegetal,68320,52018.84838,BEN 
Lenha,73277,26034.38478,BEN 
Produtos da cana,218485,7361.31978,BEN 
Outras fontes primarias,800000,26954.05096,BEN 
Gas cidade,506876,17077.95192,BEN 
Coque de carvao mineral,506876,33178.8,Pinto
Outras fontes secundarias,800000,26954.05096,BEN 
Alcatrao,800000,26954.05096,BEN 
Carvao metalurgico,409296,33178.8,Pinto
