Combustivel,BRL/tep,BRL/ktep,BRL/TJ,Fonte
Petroleo,2439.760327,6888289,164524,BEN Preços Médios Correntes 2015 convertidoa para 2020 pelo IPCA
Oleo diesel,4873.046552,6888289,164524,BEN Preços Médios Correntes 2015 convertidoa para 2020 pelo IPCA
Biodiesel,6776.111934,2033661,48573,PET- Com base ANT e ICMS Estadual
Oleo combustivel,2033.661305,6336720,151350,BEN Preços Médios Correntes 2015 convertidoa para 2020 pelo IPCA
Gasolina,6336.71974,6590048,157401,BEN Preços Médios Correntes 2015 convertidoa para 2020 pelo IPCA
Alcool,6590.047792,4985637,119080,BEN Preços Médios Correntes 2015 convertidoa para 2020 pelo IPCA
GLP,4985.636797,4471000,106788,BEN Preços Médios Correntes 2015 convertidoa para 2020 pelo IPCA
Gas natural,4471,4471000,106788,BEN Preços Médios Correntes 2015 convertidoa para 2020 pelo IPCA
Carvao vapor,672.0230263,838795,20034,BEN Preços Médios Correntes 2015 convertidoa para 2020 pelo IPCA
Eletricidade,9822,8081000,193011,BEN Preços Médios Correntes 2015 convertidoa para 2020 pelo IPCA
Querosene,4271.755163,1252839,29924,Relação Querosene OD do PRM
Carvao vegetal,2235,1252839,29924,BEM 2024
Lenha,1676,1252839,29924,BEM 2024
Produtos da cana,493.919075,838795,20034, http://www.canaonline.com.br/conteudo/preco-do-bagaco-de-cana-comeca-a-reagir.html 
Outras fontes primarias,466.1164255,838795,20034,SEM FONTE
Outras fontes secundarias,466.1164255,838795,20034,SEM FONTE
Gas de coqueria,838.7952169,838795,20034,SEM FONTE
Coque metalurgico,838.7952169,838795,20034,ComexData
Coque de carvao mineral,838.7952169,838795,20034,Pinto
Coque de petroleo,466.1164255,1024616,24473,Coque de petroleo em relação ao Oleo comb PRM
Alcatrao,1024.616168,838795,20034,Igual Coque metalurgico
Carvao mineral,672.0230263,838795,20034,Igual Coque metalurgico
Carvao metalurgico,670.3884552,1252839,29924,IEA 2015- https://iea.blob.core.windows.net/assets/f35daa59-ad05-4f9c-9c4d-ead374867ddb/MTCMR2015.pdf
Residuos industriais nao perigosos,80.53,1252839,29924,Igual ao CV
Residuos industriais perigosos,493.919075,1252839,29924,Igual ao CV
CDR,493.919075,1252839,29924,Igual ao CV
Pneus,493.919075,1252839,29924,Igual ao CV
Residuos agricolas,493.919075,1252839,29924,Igual ao CV
Esgoto,493.919075,1252839,29924,Igual ao CV
Gas cidade,839,1252839,29924,SEM FONTE
