Combustivel,Sinterizacao,Pelotizacao,Alto-forno,Aciaria,Laminacao,Total
Gas natural,0,0,0,0,0,0
Carvao metalurgico,0,0,0,0,0,0
Lenha,0,0,0,0,0,0
Produtos da cana,0,0,0,0,0,0
Outras fontes primarias,0,0,0,0,0,0
Oleo diesel,0.0035,0,0,0,0,0.0035
Oleo combustivel,0,0,0,0,0,0
Gasolina,0,0,0,0,0,0
GLP,0,0,0,0,0,0
Querosene,0,0,0,0,0,0
Gases cidade,0,0,0,0,0,0
Coque de carvao mineral,0,0,0,0,0,0
Eletricidade,0.0092,0,0,0,0,0.0092
Carvao vegetal,0,0,0.4206,0,0,0.4206
Alcool etilico,0,0,0,0,0,0
Outras fontes secundarias,0,0,0,0,0,0
Alcatrao,0,0,0,0,0,0
Total,0.0127,0,0.4206,0,0,0.4333
