Combustivel,Sinterizacao,Pelotizacao,Alto-forno,Aciaria,Laminacao,Total
Carvao mineral,0,0,0,0,0,0
Carvao vegetal,0,0,0.4206,0,0,0.4206
Finos de carvao,0,0,0,0,0,0
Coque metalurgico,0,0,0,0,0,0
Coque de petroleo,0,0,0,0,0,0
Gas de coqueria,0,0,0,0,0,0
Gas de alto-frono,0,0,0,0,0,0
Gas de aciaria,0,0,0,0,0,0
Gas natural,0,0,0,0,0,0
Alcatrao e derivados,0,0,0,0,0,0
Oleo combustivel,0,0,0,0,0,0
Oleo diesel,0.0035,0,0,0,0,0.0035
GLP,0,0,0,0,0,0
Gasolina,0,0,0,0,0,0
Energia eletrica,0.0092,0,0,0,0,0.0092
Gases do ar,0,0,0,0,0,0
Outras fontes,0,0,0,0,0,0
Total,0.0127,0,0.4206,0,0,0
