Combustivel,Pelotizacao,Alto-forno,Aciaria,Laminacao,Flare
Gas natural,0.345,0.065,0.169,1.156,
Carvao,,,,,
Carvao metalurgico,,,,,
Lenha,,,,,
Produtos da cana,,,,,
Outras fontes primarias,,1.048,0.819,1.17,1.722
Oleo diesel,,,,,
Oleo combustivel,,,,0.02,0.038
Gasolina,,,,,
GLP,,,0.001,0.047,0.004
Querosene,,,,,
Gases cidade,,,,,
Coque de carvao mineral,,,,,
Eletricidade,0.173,0.796,1.844,2.125,
Carvao vegetal,0.529,6.004,,,
Alcool etilico,,,,,
Outras fontes secundarias,,,,,
Alcatrao,,,,,
