Combustivel,Sinterizacao,Pelotizacao,Alto-forno,Aciaria,Laminacao,Total
Carvao mineral,0,0,0,0.007,0,0.007
Carvao vegetal,0,0,0,,0,0
Finos de carvao,0,0,0,0.022,0,0.022
Coque metalurgico,0,0,0,0.139,0,0.139
Coque de petroleo,0,0,0,0.003,0,0.003
Gas de coqueria,0,0,0,0,0,0
Gas de alto-frono,0,0,0,0,0,0
Gas de aciaria,0,0,0,0,0,0
Gas natural,0,0,0,0.377,1.105,1.482
Alcatrao e derivados,0,0,0,0,0,0
Oleo combustivel,0,0,0,0,0,0
Oleo diesel,0,0,0,0,0,0
GLP,0,0,0,0,0,0
Gasolina,0,0,0,0,0,0
Energia eletrica,0,0,0,5.271,0.989,6.26
Gases do ar,0,0,0,0,0,0
Outras fontes,0,0,0,0.31,0.009,0.319
Total,0,0,0,6.129,2.103,8.232
