Combustivel,BRL/ktep,BRL/TJ,Fonte
Petroleo,1462689,7201.175122,BEN 
Oleo diesel,2332547,17038.26464,BEN 
Oleo combustivel,1339603,10493.50438,BEN 
Gasolina,2505195,23746.70497,BEN 
Alcool,4372549,27768.67021,BEN 
GLP,1253971,20246.38039,BEN 
Gas natural,515773,10347.86505,BEN 
Carvao vapor,524702,3459.461711,BEN 
Eletricidade,1790698,29934.12618,BEN 
Querosene,2813869,47037.92234,BEN 
Carvao vegetal,68320,1618.910396,BEN 
Lenha,73277,737.2502639,BEN 
Produtos da cana,218485,1075.652573,BEN 
Outras fontes primarias,800000,3938.594345,BEN 
Gas cidade,506876,2495.474113,BEN 
Coque de carvao mineral,506876,6430,Pinto
Outras fontes secundarias,800000,3938.594345,BEN 
Alcatrao,800000,3938.594345,BEN 
Carvao metalurgico,409296,6430,Pinto
